Maria Stanisława KUROWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;4,71;20813
Jagna Kinga MARCZUŁAJTIS-WALCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;4,7;35573
Apoloniusz Leopold TAJNER;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;4,66;20748
Leonard Seweryn KRASULSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;4,66;13948
Rafał WEBER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;4,65;31349
Robert Piotr WARWAS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;4,6;17403
Małgorzata Barbara NIEMCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;4,59;20959
Adam Michał GOMOŁA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;4,57;21923
Mirosław Wojciech MALISZEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;4,56;17857
Piotr Paweł STRACH;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;4,55;17634
